IncidntNum,Category,Descript,DayOfWeek,Date,Time,Resolution,Address
90604866,LOITERING,REFUSING TO DISPERSE UPON LAWFUL COMMAND,Friday,06/12/2009,15:45,"ARREST, BOOKED",300 Block of EDDY ST
40374815,NON-CRIMINAL,LOST PROPERTY,Sunday,03/28/2004,16:00,NONE,2500 Block of NORIEGA ST
130596171,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Saturday,07/20/2013,01:00,"ARREST, BOOKED",8TH ST / MISSION ST
80832215,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,07/22/2008,13:00,NONE,300 Block of CORTLAND AV
30280921,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Saturday,03/08/2003,16:30,DISTRICT ATTORNEY REFUSES TO PROSECUTE,2000 Block of MARKET ST
30114013,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,01/28/2003,14:30,"ARREST, CITED",ELLIS ST / WEBSTER ST
90234560,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Tuesday,07/01/2008,12:00,NONE,0 Block of REARDON RD
120321251,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,04/11/2012,12:00,NONE,MAIN ST / HOWARD ST
70814900,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,08/11/2007,13:30,NONE,100 Block of OFARRELL ST
61327863,TRESPASS,TRESPASSING,Thursday,12/14/2006,06:20,"ARREST, BOOKED",400 Block of GEARY ST
70000262,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01/01/2007,00:45,NONE,1900 Block of UNION ST
80626096,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,06/15/2008,12:35,NONE,200 Block of FILLMORE ST
70878075,WARRANTS,ENROUTE TO PAROLE OFFICER,Tuesday,08/28/2007,09:30,"ARREST, BOOKED",300 Block of ATHENS ST
90296491,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Saturday,03/21/2009,06:50,"ARREST, BOOKED",2000 Block of MISSION ST
81214068,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Thursday,11/13/2008,07:58,"ARREST, BOOKED",200 Block of TURK ST
90389228,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,04/14/2009,11:15,NONE,1100 Block of FILLMORE ST
80021418,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,01/05/2008,21:30,NONE,POST ST / PRESIDIO AV
91154329,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,11/08/2009,16:00,NONE,GUERRERO ST / 17TH ST
131091178,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,12/28/2013,01:56,"ARREST, BOOKED",900 Block of CONNECTICUT ST
120254624,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,03/29/2012,20:30,NONE,3200 Block of PIERCE ST
70686583,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,07/08/2007,17:15,"ARREST, BOOKED",800 Block of 3RD ST
100237872,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,03/12/2010,19:25,NONE,1400 Block of 46TH AV
60353811,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,04/03/2006,00:03,NONE,300 Block of HYDE ST
50523193,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,05/10/2005,18:30,NONE,VALENCIA ST / 25TH ST
91328916,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,12/15/2009,14:00,NONE,800 Block of BOSWORTH ST
81125619,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,10/21/2008,14:13,"ARREST, BOOKED",0 Block of 7TH ST
80123127,WARRANTS,WARRANT ARREST,Monday,02/04/2008,22:00,"ARREST, BOOKED",QUINTARA ST / 30TH AV
51220910,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,10/28/2005,07:00,NONE,5TH ST / BRANNAN ST
40513007,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,05/04/2004,17:00,NONE,0 Block of 6TH ST
100241061,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,03/13/2010,19:35,"ARREST, BOOKED",1800 Block of HAIGHT ST
90304317,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,03/23/2009,12:10,"ARREST, BOOKED",HYDE ST / TURK ST
60020480,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,01/05/2006,21:30,NONE,0 Block of PARAMOUNT TR
30674904,ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,06/03/2003,00:30,NONE,23RD ST / MISSION ST
70995481,WARRANTS,WARRANT ARREST,Friday,09/28/2007,07:15,"ARREST, BOOKED",800 Block of MARKET ST
51052484,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,09/20/2005,14:00,NONE,300 Block of HARRIET ST
40452364,ASSAULT,BATTERY,Tuesday,04/20/2004,15:30,NONE,0 Block of SOUTH VAN NESS AV
80768096,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Tuesday,07/22/2008,00:55,NONE,VALENCIA ST / DUBOCE AV
100349411,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,04/15/2010,15:13,"ARREST, BOOKED",6TH ST / MISSION ST
40418855,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Friday,04/09/2004,23:00,NONE,14TH ST / BELCHER ST
70311213,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,03/26/2007,11:39,"ARREST, BOOKED",0 Block of JONES ST
